Day, Cash On Hand 
11,"$333,291"
12,"$390,608"
13,"$272,859"
14,"$249,174"
15,"$211,280"
16,"$503,033"
17,"$320,321"
18,"$403,308"
19,"$558,027"
20,"$280,733"
21,"$713,413"
22,"$1,811,122"
23,"$1,245,296"
24,"$569,488"
25,"$60,660"
26,"$520,959"
27,"$547,409"
28,"$298,174"
29,"$279,293"
30,"$255,379"
31,"$541,742"
32,"$345,258"
33,"$1,388,999"
34,"$448,851"
35,"$517,619"
36,"$3,942,037"
37,"$2,797,938"
38,"$2,970,853"
39,"$4,404,414"
40,"$6,642,811"
41,"$7,600,418"
42,"$8,032,563"
43,"$8,343,109"
44,"$11,263,300"
45,"$14,325,257"
46,"$14,340,720"
47,"$14,426,425"
48,"$14,910,879"
49,"$15,283,130"
50,"$15,628,322"
51,"$16,063,027"
52,"$16,519,119"
53,"$18,292,931"
54,"$20,118,477"
55,"$20,655,474"
56,"$21,184,099"
57,"$21,366,665"
58,"$22,776,982"
59,"$23,265,148"
60,"$23,771,224"
61,"$24,738,556"
62,"$25,331,030"
63,"$25,156,070"
64,"$25,692,381"
65,"$28,004,371"
66,"$29,197,661"
67,"$29,763,895"
68,"$30,386,677"
69,"$30,849,853"
70,"$30,894,003"
71,"$31,011,742"
72,"$33,202,698"
73,"$32,392,042"
74,"$33,370,464"
75,"$35,662,612"
76,"$37,503,660"
77,"$37,863,777"
78,"$37,513,203"
79,"$38,027,592"
80,"$38,561,723"
81,"$39,947,914"
82,"$40,159,978"
83,"$43,227,963"
84,"$45,905,415"
85,"$48,681,344"
86,"$47,841,306"
87,"$48,031,529"
88,"$48,667,708"
89,"$49,629,797"
90,"$50,642,964"
